job_index,test_type,data_source,n_obs,n_perms,d_cats,epsilon,x_data,y_data,p_val_chisq_std,p_val_chisq_sim,p_val_perm_u,s3_filename
0,independence,multi_dense,60,10,100,0.0,home_data.rds,home_data.rds,,,0.181818181818182,sim_out_independence_multi_dense_n60_cats100_epsilon0_idx0.csv
1,independence,multi_dense,60,10,100,0.0,home_data.rds,home_data.rds,,,0.181818181818182,sim_out_independence_multi_dense_n60_cats100_epsilon0_idx1.csv
0,independence,multi_dense,60,10,10,0.0,home_data.rds,home_data.rds,0.0668053168850895,0.272727272727273,0.181818181818182,sim_out_independence_multi_dense_n60_cats10_epsilon0_idx0.csv
1,independence,multi_dense,60,10,10,0.0,home_data.rds,home_data.rds,0.229757629081351,0.363636363636364,0.272727272727273,sim_out_independence_multi_dense_n60_cats10_epsilon0_idx1.csv
0,independence,multi_dense,60,10,300,0.0,home_data.rds,home_data.rds,,,0.636363636363636,sim_out_independence_multi_dense_n60_cats300_epsilon0_idx0.csv
1,independence,multi_dense,60,10,300,0.0,home_data.rds,home_data.rds,,,0.181818181818182,sim_out_independence_multi_dense_n60_cats300_epsilon0_idx1.csv
0,independence,multi_dense,60,10,500,0.0,home_data.rds,home_data.rds,,,0.0909090909090909,sim_out_independence_multi_dense_n60_cats500_epsilon0_idx0.csv
1,independence,multi_dense,60,10,500,0.0,home_data.rds,home_data.rds,,,0.363636363636364,sim_out_independence_multi_dense_n60_cats500_epsilon0_idx1.csv
0,independence,multi_dense,60,10,50,0.0,home_data.rds,home_data.rds,,,0.0909090909090909,sim_out_independence_multi_dense_n60_cats50_epsilon0_idx0.csv
1,independence,multi_dense,60,10,50,0.0,home_data.rds,home_data.rds,,,0.363636363636364,sim_out_independence_multi_dense_n60_cats50_epsilon0_idx1.csv
0,independence,multi_perturb,20,10,100,0.5,home_data.rds,home_data.rds,,,0.272727272727273,sim_out_independence_multi_perturb_n20_cats100_epsilon0_5_idx0.csv
1,independence,multi_perturb,20,10,100,0.5,home_data.rds,home_data.rds,,,0.181818181818182,sim_out_independence_multi_perturb_n20_cats100_epsilon0_5_idx1.csv
0,independence,multi_perturb,20,10,100,0.7,home_data.rds,home_data.rds,,,0.636363636363636,sim_out_independence_multi_perturb_n20_cats100_epsilon0_7_idx0.csv
1,independence,multi_perturb,20,10,100,0.7,home_data.rds,home_data.rds,,,0.454545454545455,sim_out_independence_multi_perturb_n20_cats100_epsilon0_7_idx1.csv
0,independence,multi_perturb,20,10,10,0.5,home_data.rds,home_data.rds,0.986515029059712,1.0,0.0909090909090909,sim_out_independence_multi_perturb_n20_cats10_epsilon0_5_idx0.csv
1,independence,multi_perturb,20,10,10,0.5,home_data.rds,home_data.rds,0.983452951229507,1.0,0.181818181818182,sim_out_independence_multi_perturb_n20_cats10_epsilon0_5_idx1.csv
0,independence,multi_perturb,20,10,10,0.7,home_data.rds,home_data.rds,0.685578604996705,0.636363636363636,0.454545454545455,sim_out_independence_multi_perturb_n20_cats10_epsilon0_7_idx0.csv
1,independence,multi_perturb,20,10,10,0.7,home_data.rds,home_data.rds,0.80433676754883,0.818181818181818,0.545454545454545,sim_out_independence_multi_perturb_n20_cats10_epsilon0_7_idx1.csv
0,independence,multi_perturb,20,10,300,0.5,home_data.rds,home_data.rds,,,0.818181818181818,sim_out_independence_multi_perturb_n20_cats300_epsilon0_5_idx0.csv
1,independence,multi_perturb,20,10,300,0.5,home_data.rds,home_data.rds,,,0.545454545454545,sim_out_independence_multi_perturb_n20_cats300_epsilon0_5_idx1.csv
0,independence,multi_perturb,20,10,300,0.7,home_data.rds,home_data.rds,,,0.818181818181818,sim_out_independence_multi_perturb_n20_cats300_epsilon0_7_idx0.csv
1,independence,multi_perturb,20,10,300,0.7,home_data.rds,home_data.rds,,,0.545454545454545,sim_out_independence_multi_perturb_n20_cats300_epsilon0_7_idx1.csv
0,independence,multi_perturb,20,10,500,0.5,home_data.rds,home_data.rds,,,0.181818181818182,sim_out_independence_multi_perturb_n20_cats500_epsilon0_5_idx0.csv
1,independence,multi_perturb,20,10,500,0.5,home_data.rds,home_data.rds,,,0.545454545454545,sim_out_independence_multi_perturb_n20_cats500_epsilon0_5_idx1.csv
0,independence,multi_perturb,20,10,500,0.7,home_data.rds,home_data.rds,,,0.363636363636364,sim_out_independence_multi_perturb_n20_cats500_epsilon0_7_idx0.csv
1,independence,multi_perturb,20,10,500,0.7,home_data.rds,home_data.rds,,,0.818181818181818,sim_out_independence_multi_perturb_n20_cats500_epsilon0_7_idx1.csv
0,independence,multi_perturb,20,10,50,0.5,home_data.rds,home_data.rds,,,0.454545454545455,sim_out_independence_multi_perturb_n20_cats50_epsilon0_5_idx0.csv
1,independence,multi_perturb,20,10,50,0.5,home_data.rds,home_data.rds,,,0.818181818181818,sim_out_independence_multi_perturb_n20_cats50_epsilon0_5_idx1.csv
